FeatureSet,Model,Strategy1,Strategy2,Strategy1_F1,Strategy1_F1_std,Strategy2_F1,Strategy2_F1_std,Strategy1_AUPRC,Strategy2_AUPRC,Winner,Mean_Diff,Std_Diff
combined,MLP,StandardScaler_none,StandardScaler_Chi2,0.7327,0.0006,0.7327,0.0006,0.7799±0.0026,0.7799±0.0026,Tie,0.0,0.0008
combined,MLP,StandardScaler_none,StandardScaler_ANOVA,0.7327,0.0006,0.7327,0.0006,0.7799±0.0026,0.7799±0.0026,Tie,0.0,0.0008
combined,MLP,StandardScaler_MI,StandardScaler_Chi2,0.7327,0.0006,0.7327,0.0006,0.7799±0.0026,0.7799±0.0026,Tie,0.0,0.0008
combined,MLP,StandardScaler_MI,StandardScaler_ANOVA,0.7327,0.0006,0.7327,0.0006,0.7799±0.0026,0.7799±0.0026,Tie,0.0,0.0008
combined,MLP,StandardScaler_Chi2,StandardScaler_ANOVA,0.7327,0.0006,0.7327,0.0006,0.7799±0.0026,0.7799±0.0026,Tie,0.0,0.0008
combined,MLP,MinMaxScaler_none,MinMaxScaler_MI,0.7318,0.002,0.7272,0.0015,0.7771±0.0065,0.7741±0.0072,MinMaxScaler_none,0.0046,0.0025
combined,MLP,MinMaxScaler_none,MinMaxScaler_Chi2,0.7318,0.002,0.728,0.003,0.7771±0.0065,0.7744±0.0085,MinMaxScaler_none,0.0038,0.0036
combined,MLP,MinMaxScaler_none,MinMaxScaler_ANOVA,0.7318,0.002,0.7318,0.002,0.7771±0.0065,0.7771±0.0065,Tie,0.0,0.0028
combined,MLP,MinMaxScaler_MI,MinMaxScaler_Chi2,0.7272,0.0015,0.728,0.003,0.7741±0.0072,0.7744±0.0085,Tie,-0.0008,0.0034
combined,MLP,MinMaxScaler_MI,MinMaxScaler_ANOVA,0.7272,0.0015,0.7318,0.002,0.7741±0.0072,0.7771±0.0065,MinMaxScaler_ANOVA,-0.0046,0.0025
combined,MLP,MinMaxScaler_Chi2,MinMaxScaler_ANOVA,0.728,0.003,0.7318,0.002,0.7744±0.0085,0.7771±0.0065,MinMaxScaler_ANOVA,-0.0038,0.0036
